ID,POP,EMP,AREA_KM,EMP_DENS,X,Y
271,2638,9058,6.248471,1449.634639,945608.2811,540808.9165
272,3299,226,1.977531,114.283923,943731.8184,538193.8506
273,4458,1001,2.46534,406.029189,944519.4987,542193.5205
274,6465,3906,7.611529,513.168905,942686.7547,560736.2829
275,1631,9918,25.458169,389.580256,941599.4979,549026.8114
276,3132,7691,3.167474,2428.1178,939295.064,552389.6947
277,4637,1375,28.472466,48.292269,936260.7992,554814.7058
278,4600,1978,20.193215,97.953694,940987.6647,538417.7585
279,2798,254,1.597971,158.95157,943836.3464,543316.8086
280,892,499,23.604257,21.140254,948464.2279,570315.0837
281,2693,221,2.755884,80.192055,944096.3672,567345.7821
282,2097,1776,1.187557,1495.507163,946451.4433,565679.7071
283,4837,1550,2.833125,547.099051,950879.1998,563724.5555
284,5103,480,3.935161,121.97722,951440.412,566347.2587
285,3331,2697,23.600713,114.276209,949309.7093,558176.8758
286,4471,1100,2.598704,423.287916,944809.9986,565478.8163
287,3296,2877,2.429051,1184.413172,947268.9349,563956.0565
288,3005,10653,4.384552,2429.666703,946899.4293,562057.1499
289,1965,1030,1.246609,826.241428,947727.2732,565591.5019
290,971,324,35.1653,9.213628,937271.9601,562428.4873
291,3863,688,2.001338,343.770018,932464.6936,548662.2759
292,2161,1833,3.767884,486.479945,947098.5475,546233.0819
293,1408,939,0.851932,1102.200645,948887.0752,544704.3393
294,3414,2464,4.060113,606.879661,948360.231,542858.4076
295,2117,467,1.250951,373.315981,950142.804,565566.9535
296,3261,255,1.163752,219.11885,946417.2105,567178.6103
297,1125,96,7.467154,12.856304,943728.6779,552445.0188
298,4703,30833,5.549809,5555.686691,936315.1461,548128.8303
299,5877,1841,1.508499,1220.418442,936531.0056,544841.5413
300,2177,637,0.708885,898.594271,937621.973,544548.0387
301,3557,491,6.969485,70.449969,931554.5668,541446.3979
302,2952,2019,4.221587,478.256163,933958.8383,543654.7464
303,5758,1521,2.572668,591.215034,934003.3106,548695.2464
304,3293,438,0.525825,832.976751,935398.9031,545750.3184
305,3128,404,1.174497,343.977039,935575.4881,544491.513
306,2455,2339,4.184416,558.97884,931056.4325,546154.5683
307,2856,16989,1.146885,14813.16784,933239.1731,547380.1637
308,3504,6690,14.017569,477.258218,950164.5228,542002.7356
309,3988,2150,14.867631,144.609454,943840.87,556254.6195
310,5351,5767,1.476197,3906.660154,934506.1867,547372.1792
311,3287,1082,0.717993,1506.97848,933602.4308,545785.5216
312,3368,3933,4.86669,808.14681,945049.7091,562229.1532
313,2343,3686,2.548885,1446.12252,949185.9451,563425.4316
314,3228,948,1.323647,716.203036,948832.0406,565467.3099
315,2637,154,1.80157,85.480997,949819.8218,567126.3887
316,3043,2198,1.366032,1609.039905,947688.3696,567194.2831
317,1969,830,0.749847,1106.892473,948639.7311,567192.9345
318,2647,1086,1.558805,696.687527,935703.4428,542796.5413
319,2784,560,1.350603,414.629614,937265.3699,546337.7032
320,6136,844,1.234065,683.918594,934359.6825,546228.5613
321,1941,185,0.735918,251.386703,936449.2495,545745.5211
322,1257,1354,0.842403,1607.306717,935826.8908,546636.6478
323,356,126,148.362355,0.849272,916588.2126,561191.2408
324,2765,3082,1.309683,2353.241204,952100.7581,536645.6986
325,1029,2989,2.320828,1287.902421,950658.1321,535258.0123
326,4784,765,4.149941,184.33997,953423.8261,539114.6704
327,2333,225,1.613678,139.433022,951628.0774,538338.5771
328,4597,490,4.296437,114.047989,951018.6199,539243.8845
329,2605,5510,3.798591,1450.537844,948073.0144,537801.1481
330,3085,567,2.606495,217.533508,949555.3061,365601.2174
331,2574,21974,11.575265,1898.358267,945988.2635,535599.5925
332,1871,672,0.926716,725.141251,950174.3979,536352.0376
333,1485,704,0.682987,1030.766325,950151.5494,537182.5842
334,2261,211,1.174988,179.576302,955008.1108,537083.0252
335,1682,354,9.874738,35.849052,956082.0393,545478.4452
336,3873,522,2.574351,202.769552,955224.5918,539809.1145
337,1500,253,8.248196,30.673374,954510.9553,542145.4823
338,4019,977,2.13588,457.422702,953381.9078,536659.5951
339,4527,129,2.084683,61.879912,955000.4912,538345.1785
340,23841,13707,698.774785,19.615762,922383.5539,509689.7044
341,15739,21939,1498.260517,14.642981,867873.0506,411912.8425
342,27530,35593,3167.103418,11.238345,838337.6017,490748.9572
343,18728,12834,1029.809271,12.462502,843169.8393,434841.3312
344,16511,22380,253.743105,88.199441,838023.9561,460715.9512
345,894,1493,409.031477,3.650086,1171007.055,412266.5064
346,3355,507,204.439478,2.479952,910822.7933,509310.726
347,1036,1755,156.459877,11.216933,890803.202,516491.942
348,602,927,3.452502,268.500931,913234.4828,517938.0177
349,1151,856,428.337073,1.998426,859572.5953,232981.8461
350,501,637,50.924347,12.508751,871879.7233,227974.0836
351,575,748,78.288212,9.55444,788874.5095,290849.6901
352,312,347,78.093288,4.443404,921546.2004,231252.082
353,5763,1936,245.08029,7.899452,770093.5145,281756.0314
354,1345,762,1104.702812,0.689778,923123.5152,334499.4321
355,2367,1457,82.878461,17.57996,688780.4936,410067.2348
356,2851,825,444.510437,1.855974,723307.7342,418321.7544
357,1306,2269,30.267378,74.965199,691586.9262,404392.2514
358,2537,1655,121.829197,13.584593,704319.4517,406855.7449
359,2180,629,83.725706,7.512627,708808.7768,429323.5121
360,4640,9338,4.600294,2029.870265,951309.3336,561291.8448
361,3532,5587,6.562221,851.388577,751802.0666,468212.0867
362,1294,731,0.625043,1169.519537,964413.2094,512429.6738
363,9180,15554,11.270054,1380.117611,968305.4951,520759.794
364,4193,2039,6.692334,304.676963,975237.593,521818.9734
365,3262,8761,6.48527,1350.907518,966355.3105,520628.085
366,3185,17135,7.874749,2175.94237,974253.8999,449970.4093
367,3296,1138,4.014128,283.498683,978379.1732,522312.7721
368,7536,7509,78.919551,95.147526,964410.532,439996.5653
369,4506,9428,0.51977,18138.79215,958674.1055,516134.2295
370,3688,8295,1.163628,7128.566862,962782.9789,515781.6827
371,4337,36772,0.981134,37479.08032,957267.1388,518017.8885
372,7750,3464,2.745585,1261.661904,971451.9388,475610.6511
373,7514,2892,7.269414,397.831242,795179.6815,445772.6867
374,4316,10850,3.157572,3436.184511,961779.1172,494256.9363
375,2144,787,1.078696,729.58461,963572.7726,510793.8929
376,3312,785,0.797584,984.222352,963534.7286,512717.2982
377,1935,2644,1.41698,1865.940239,964582.0726,510490.2068
378,3026,2386,1.395988,1709.183747,971409.8899,520734.7833
379,2733,1237,0.677598,1825.566191,958935.9847,518051.5169
380,2395,481,0.873155,550.875847,960112.2201,519687.6277
381,9385,6134,84.984056,72.178245,916589.8357,573865.9452
382,10293,24896,209.619923,118.767337,963620.3361,606981.8429
383,3087,19249,0.519879,37025.92334,958652.3735,516999.1498
384,2736,1936,0.389327,4972.683631,959216.2426,516957.7807
385,2938,952,431.036647,2.208629,921887.394,621650.6584
386,5269,484,1.503865,321.837399,952022.4226,507450.7984
387,1411,285,0.56787,501.875429,950757.2177,508363.5032
388,4381,1681,1.777991,945.449105,949166.9611,504500.5715
389,6141,1861,3.770055,493.626751,977166.6828,451931.7536
390,4641,2410,1.577993,1527.256458,966344.1366,507682.6927
391,1268,2579,0.810346,3182.59114,965070.1753,504462.617
392,3850,680,1.802196,377.31745,964739.504,514283.9842
393,6378,5647,22.092625,255.60566,918357.0317,575233.955
394,3605,1278,38.817199,32.92355,907817.0889,577812.8792
395,1655,17259,1.562031,11049.07649,966321.1138,504468.6637
396,0,12747,4.098827,3109.914129,969533.6725,521861.5166
397,3034,4012,1.205995,3326.713627,956518.66,511429.9776
398,5504,844,16.0354,52.633548,650218.7921,451929.3975
399,4412,2536,1.759228,1441.541403,966889.1655,506273.8331
400,3390,264,0.970947,271.899496,977545.8569,520915.289
401,2033,350,0.750361,466.442153,953720.9308,504749.576
402,8135,18549,1121.201096,16.543865,750863.5548,476243.0215
403,2168,49,0.49481,99.02791,972666.8653,521719.6674
404,5548,2820,1.646142,1713.09644,965211.7921,512078.623
405,2953,66,1.061422,62.180735,979138.379,520529.9571
406,4397,829,0.45726,1812.972926,959285.4052,516136.7368
407,5316,15608,0.619306,25202.40398,958956.5858,515445.7154
408,3966,1789,171.515955,10.430517,998525.9859,410153.7805
409,4646,4006,2.875198,1393.295349,956210.7699,509036.528
410,2913,987,1.548497,637.392258,963155.3647,514255.0607
411,3327,1506,1.487647,1012.336932,964626.0219,515845.5843
412,5075,10965,3.236225,3388.206939,967214.6308,460138.5321
413,5242,15136,1.982198,7635.967749,961615.7472,514314.3184
414,3622,3283,2.480314,1323.622735,961490.6402,512750.5511
415,4766,7311,5.048838,1448.055969,861141.5628,507334.1823
416,8629,1195,5.285425,226.093455,969146.6831,438274.4361
417,2526,709,1.012283,700.397023,961503.0681,515404.9438
418,2252,2197,0.49823,4409.610019,961946.1122,516191.5101
419,3615,373,1.294774,288.081163,963111.769,518369.8203
420,5242,1099,175.780227,6.252125,1020007.643,412215.2741
421,5794,5404,4.960354,1089.438375,966862.847,514378.4861
422,2354,271,0.511477,529.838096,971074.818,521691.7544
423,1633,7901,2.664665,2965.100679,964701.646,520509.8274
424,759,744,0.478652,1554.365176,953199.9839,507610.9896
425,3569,1312,0.841306,1559.480142,968334.0646,512621.8357
426,7052,12051,77.935702,154.627465,981693.4086,594263.569
427,6935,1452,6.240785,232.663038,983422.5794,413874.1214
428,4280,1820,1.636386,1112.207022,967773.9723,507632.622
429,2720,1210,1.476076,819.740989,960183.2503,514626.008
430,2220,391,1.005737,388.769629,960144.8688,513474.0926
431,3973,1054,2.196628,479.826352,960265.0919,511818.387
432,3515,6942,4.624525,1501.127143,982303.2383,385398.3429
433,3257,1185,1.055313,1122.889607,959268.3142,512326.3016
434,5160,2982,5.01355,594.788124,983942.5097,411688.5776
435,4029,1611,1.267776,1270.729214,954466.341,519212.0563
436,4840,3989,17.814274,223.921559,862354.8321,516988.2321
437,8317,2114,33.914821,62.33263,836934.663,502799.2012
438,4516,702,1.929911,363.747344,981269.0971,405144.2758
439,3324,848,1.790321,473.658076,963514.8609,480728.6985
440,10360,5187,18.613148,278.673978,801839.1817,479354.0642
441,10249,8754,144.161847,60.723417,883007.6093,541685.5301
442,3729,2290,2.718602,842.344705,962496.1269,477455.8024
443,2301,553,1.330413,415.6604,953100.1819,509392.6612
444,4781,4977,2.734713,1819.935035,764063.7793,473893.2502
445,13824,19787,930.761571,21.258935,835929.1058,566893.696
446,3361,7159,0.822556,8703.358799,960135.279,516969.428
447,4258,775,0.533403,1452.93521,959855.7334,516112.4053
448,2661,792,0.432292,1832.094973,960502.9892,516051.0824
449,2736,486,1.091014,445.457162,971517.8924,446396.4536
450,1882,229,1.867234,122.641297,951909.0076,505864.1961
451,1600,1530,1.174304,1302.89942,961480.997,519705.4377
452,2922,484,0.671448,720.830206,966321.8307,516288.8492
453,1230,6272,3.663255,1712.138522,963055.2301,520760.624
454,9567,7236,71.708708,100.908247,994171.936,438160.6414
455,2374,1221,0.629331,1940.155498,961577.6972,510048.7475
456,9241,10312,1240.591214,8.312166,948423.6915,468958.9013
457,2202,1492,41.134882,36.27092,978546.0771,402532.965
458,2845,1059,1.137686,930.836804,966101.5507,510507.4974
459,4383,271,1.798721,150.66261,969020.2512,507111.6033
460,2577,3061,0.468933,6527.584964,962771.4618,511427.034
461,6839,6390,73.613572,86.804645,991524.8435,423714.3011
462,6145,2504,4.114214,608.62172,741118.3152,453370.6186
463,2396,2393,1.762495,1357.734348,953537.1404,521862.8057
464,938,34,0.266416,127.619963,971935.4254,522723.4498
465,2190,586,0.989085,592.466775,964665.0432,518444.0563
466,3189,1136,1.266047,897.281065,963145.503,517238.6672
