ID,EMP,EMP_DENS,AREA_KM,X,Y
395,4262,6123.845569,0.695968,240891.9251,8153530.857
396,813,1030.380383,0.789029,233483.3911,8153629.25
397,5858,1251.311284,4.681489,226563.3175,8146642.956
398,331,648.55694,0.510364,239129.6707,8167409.304
399,1888,1126.523755,1.675952,244161.4444,8138851.673
400,154,151.616899,1.015718,224495.9663,8153954.869
401,205,740.054662,0.277007,232718.2757,8158374.628
402,800,433.519537,1.845361,253944.0204,8144299.056
403,167,170.402704,0.980031,257153.2214,8142773.827
404,798,441.221053,1.808617,233197.3395,8143056.681
405,784,160.119398,4.896346,228940.3674,8142058.064
406,39,145.61236,0.267834,244861.7633,8159471.617
407,1266,1970.217235,0.642569,232636.9033,8152056.582
408,30,105.894266,0.283301,239049.7594,8168140.099
409,169,471.715354,0.358267,252108.6773,8145866.17
410,205,466.046556,0.43987,232594.1531,8149471.268
411,624,848.286603,0.7356,231057.2591,8150653.935
412,924,250.859494,3.683337,238724.5471,8170411.492
413,1014,4.773482,212.423548,311376.916,8217925.151
414,114,29.232434,3.899778,221784.1454,8151860.681
415,611,1388.207034,0.440136,231533.9711,8156564.879
416,57,164.698253,0.346087,236731.2592,8160117.337
417,1113,1819.286577,0.611778,242399.1141,8153474.724
418,840,1488.109942,0.564474,246111.5586,8158422.213
419,687,746.286817,0.920558,239340.4024,8140608.858
420,71,133.475945,0.531931,241065.8394,8139021.473
421,1659,1355.162714,1.224207,247961.366,8144154.03
422,653,420.701697,1.552169,234718.2026,8163666.832
423,3527,736.528386,4.788682,247133.0412,8147130.058
424,367,364.21028,1.00766,191855.8555,8201751.215
425,15,27.810253,0.539369,247882.5976,8152688.426
426,4043,2472.773518,1.635006,236208.7531,8155429.773
427,308,1120.08626,0.274979,249540.7466,8160740.924
428,139,156.915868,0.885825,255481.6888,8139514.928
429,1026,569.605042,1.801248,233052.0445,8170262.578
430,140,254.042965,0.551088,232963.0909,8144609.47
431,111,158.484098,0.700386,232587.5914,8162140.155
432,69,52.915856,1.303957,229688.9391,8171720.973
433,1108,2430.982447,0.455783,232638.7937,8151070.049
434,379,921.687824,0.411202,248425.3956,8155543.172
