ID,NAME,EMP,AREA_KM,EMP_DENS,X,Y
203031048,Clifton Springs,2354,65.154132,36.129712,287669.2865,5772107.781
203031049,Lorne - Anglesea,1919,447.988183,4.283595,239889.6791,5740944.034
204011058,Nagambie,1407,1294.361176,1.087023,335483.1451,5923474.474
204011059,Seymour,2788,79.307012,35.154521,336501.3259,5901771.87
204011060,Seymour Region,2014,1688.832085,1.19254,318438.7891,5898077
204011061,Upper Yarra Valley,5,856.302776,0.005839,409672.3802,5832358.693
204011054,Alexandra,2464,2118.926209,1.162853,393173.0409,5869117.138
204011055,Euroa,2126,2057.901572,1.033091,374781.7013,5933875.934
204011056,Kilmore - Broadford,3766,461.519644,8.159999,321130.5638,5875890.424
204011057,Mansfield (Vic.),4019,3927.913619,1.02319,429669.7237,5882999.741
204021066,Wangaratta,9803,57.582059,170.243999,438062.387,5976021.844
204021067,Wangaratta Region,2516,3587.498559,0.701324,449010.4894,5950329.182
204031068,Beechworth,1574,371.336144,4.238747,474396.4567,5978058.95
204031069,Bright - Mount Beauty,3941,4253.629801,0.926503,499703.1161,5916704.267
204011062,Yea,1020,1474.290649,0.691858,360993.7836,5875029.824
204021063,Benalla,4365,315.314071,13.84334,410243.4461,5951374.582
204021064,Benalla Region,751,2105.324611,0.356715,412010.7079,5951141.431
204021065,Rutherglen,1574,479.338092,3.283695,448343.1342,6008575.749
204031074,Wodonga,14408,278.810451,51.676686,493995.1216,5997316.55
204031075,Yackandandah,1162,708.197646,1.640785,499804.7111,5979465.159
205011076,Drouin,3586,326.809231,10.972762,395007.4678,5778486.934
205011077,Mount Baw Baw Region,1569,2753.322982,0.569857,428497.6177,5806145.316
204031070,Chiltern - Indigo Valley,529,513.172554,1.030842,468452.0883,5998651.134
204031071,Myrtleford,1887,553.367229,3.410032,483059.0554,5954735.746
204031072,Towong,2013,6668.667894,0.301859,553759.0225,5976583.181
204031073,West Wodonga,4399,153.879412,28.58732,481178.5978,6003022.429
205021082,Bruthen - Omeo,1755,7377.448587,0.237887,551681.1091,5869589.293
205021083,Lake King,0,93.872187,0,567147.6085,5806883.297
205021084,Lakes Entrance,2542,214.036672,11.876469,581660.2563,5811554.882
205021085,Orbost,2072,11384.44363,0.182003,656898.4368,5854304.428
205011078,Trafalgar (Vic.),1892,501.519033,3.772539,423545.9924,5768987.033
205011079,Warragul,8808,352.176356,25.010197,407181.8463,5769909.113
205021080,Alps - East,3,2071.3134,0.001448,592170.6226,5905326.53
205021081,Bairnsdale,8575,155.010001,55.319011,554032.5063,5812962.795
205031090,Leongatha,5229,801.009632,6.528011,416596.1227,5743696.733
205031091,Phillip Island,3221,100.575609,32.025657,346574.3809,5738275.4
205031092,Wilsons Promontory,32,481.515619,0.066457,445219.8199,5687455.706
205031093,Wonthaggi - Inverloch,6994,728.758701,9.597141,377820.6781,5735946.986
205021086,Paynesville,787,417.899612,1.883227,549226.0113,5798375.232
205031087,Foster,2861,1498.857815,1.908787,422775.0853,5718468.92
205031088,French Island,61,170.229284,0.35834,357123.2408,5754083.721
205031089,Korumburra,2608,600.692068,4.341659,392488.3338,5749268.149
205041098,Yallourn North - Glengarry,405,342.705875,1.181771,456393.9074,5784680.138
205051099,Alps - West,26,2955.656334,0.008797,486537.8167,5855399.738
205051100,Longford - Loch Sport,2718,1610.852542,1.687305,522179.2035,5778206.438
205051101,Maffra,3940,2532.359577,1.555861,488295.4078,5811656.461
205041094,Churchill,3948,796.521152,4.956554,449125.5577,5754209.651
205041095,Moe - Newborough,4661,105.28343,44.270974,438348.1045,5772135.647
205041096,Morwell,9358,85.485677,109.468631,449318.9197,5770984.006
205041097,Traralgon,12199,149.673009,81.504341,464006.6458,5772537.253
206011106,Brunswick East,2668,2.167982,1230.637524,321879.5153,5817899.118
