ID,EMP,AREA_KM,EMP_DENS,X,Y
474,1407,32.349841,43.493258,138567.186,205819.4631
475,1234,2.769692,445.536851,307356.9417,567932.0517
476,2404,2.3865,1007.332999,346098.5719,547241.7883
477,124,3.426211,36.191578,334264.1386,636879.6861
478,5046,16.401031,307.663586,315696.4159,625231.2972
479,7435,25.768914,288.525936,327282.9709,392495.8868
480,1270,4.28413,296.442918,198885.8214,272658.8246
481,5634,51.336679,109.746094,252683.8907,386614.9632
482,160,8.628354,18.543514,164690.5928,218541.5166
483,2214,6.985857,316.926028,157741.5523,210752.6607
484,357,44.361087,8.047594,270205.9136,361118.1835
485,2090,158.060612,13.222776,267000.3632,522230.1949
486,695,1.347307,515.843676,138689.0797,251152.0597
487,1704,43.517011,39.157101,179781.7319,435903.5809
488,506,1.272048,397.78387,318595.138,634147.786
489,5473,53.382705,102.523842,293236.3625,623060.3364
490,1338,10.82272,123.628811,280090.0577,158340.5349
491,1245,8.933823,139.35804,337006.8548,555933.7866
492,480,2.70671,177.337064,323215.9487,591731.6024
493,1727,48.280588,35.770069,138719.0539,412406.4158
494,3326,5.160872,644.464707,297610.1936,569186.7818
495,5632,2.539163,2218.054105,330794.9576,573338.7905
496,4013,2.895171,1386.101106,323198.0764,573810.9144
497,3024,1.617176,1869.925935,328929.5562,577188.8136
498,259,1.742908,148.602192,317056.0497,565730.0163
499,537,1.582219,339.396753,322498.2898,567055.3828
500,9539,3.672693,2597.276793,332021.1405,571442.1225
501,4682,5.235581,894.265669,302624.1425,593486.857
502,868,2.882265,301.15202,159794.8632,208289.2342
503,7022,21.203466,331.172271,320869.3251,534410.6968
504,1458,2.435675,598.602089,323317.5512,561276.3381
505,23431,0.349065,67125.04588,358219.8521,580342.9797
506,3235,96.090178,33.666292,188647.911,451825.6354
507,5283,10.358426,510.019561,243008.3441,457779.5489
508,909,46.749851,19.443912,218420.9647,508447.2778
509,336,3.256385,103.181893,249006.6759,427667.0268
510,3382,5.72001,591.257714,176220.0091,352248.0469
511,421,1.550282,271.563419,314518.7633,564817.3138
512,897,1.883365,476.275242,319764.0141,588419.3938
513,1465,2.11764,691.807802,314467.1138,568256.2036
514,57,110.349462,0.516541,116525.7885,270602.5406
515,1133,2.522976,449.072878,155513.1092,208397.3887
516,1073,8.100258,132.464911,310429.2572,390185.2541
517,4459,2.435472,1830.856742,142540.8548,227106.7122
518,1770,4.499188,393.404332,153815.4151,223574.3354
519,1883,63.355118,29.721356,136459.4447,506491.4147
520,7669,65.554706,116.986262,120779.3536,636406.4305
521,528,30.54796,17.284296,176775.9926,474982.9389
